epoch,training_loss,validation_loss,validation_accuracy,validation_precision,validation_f1_score,learning_rate,time_per_epoch
1,0.9055193028497425,0.1958724707365036,94.62,0.9960629921259843,0.9980276134122288,5e-05,132.51967644691467
2,0.8029403446072881,0.20974361896514893,96.04,0.9960861056751468,0.9970617042115573,5e-05,132.83111476898193
3,0.7514780182391405,0.15156346559524536,96.46,0.9960552268244576,0.9960552268244576,5e-05,133.23318481445312
4,0.7249167596667327,0.13729634881019592,96.48,0.9961013645224172,0.9980468750000001,5e-05,133.23273134231567
5,0.739970331588252,0.15706020593643188,96.48,0.9980506822612085,0.9990243902439024,5e-05,133.13191628456116
6,0.7172918871510774,0.14556506276130676,96.88,0.9961013645224172,0.9980468750000001,5e-05,133.16132402420044
7,0.740446581208909,0.14531268179416656,96.3,1.0,0.9990243902439024,5e-06,133.21503114700317
8,0.640283314109018,0.12392517179250717,97.1,1.0,1.0,5e-06,133.4617714881897
9,0.6242163762746548,0.116257444024086,97.46,1.0,0.9990243902439024,5e-06,132.99657130241394
10,0.6359331080774692,0.12114787101745605,97.16,1.0,1.0,5e-06,133.27277851104736
11,0.6170087958135727,0.11973651498556137,97.3,1.0,1.0,5e-06,133.22775053977966
12,0.6592725430699912,0.12083955854177475,97.18,0.9980506822612085,0.9990243902439024,5.000000000000001e-07,132.92822098731995
13,0.5569153297057544,0.11847158521413803,97.18,1.0,1.0,5.000000000000001e-07,133.14418077468872
14,0.6034867980051786,0.11977789551019669,97.12,0.9980506822612085,0.9990243902439024,5.000000000000001e-07,133.20451664924622
15,0.6027307358401065,0.11971040815114975,97.32,1.0,0.999020568070519,5.000000000000001e-08,133.1940200328827
16,0.5483864290131764,0.12452539056539536,96.9,1.0,0.9980468750000001,5.000000000000001e-08,133.51063013076782
17,0.6300321225373243,0.11509688198566437,97.16,1.0,0.9990243902439024,5.000000000000001e-08,133.28193306922913
18,0.5850555747535757,0.12186155468225479,97.2,1.0,1.0,5.000000000000001e-08,133.40566039085388
19,0.5907818847970868,0.11793126910924911,97.28,1.0,1.0,5.000000000000001e-08,133.75614261627197
20,0.6658587925009091,0.1197207123041153,97.06,1.0,0.9990243902439024,5.000000000000002e-09,133.5756459236145
